project_name,meets_criteria,contributors_count,commits_count,closed_prs_count,age_years,days_since_update,contributors_check,commits_check,prs_check,age_check,recent_update,error
disease-sh/API,True,90,8966,563,5.4,-1,True,True,True,True,True,
rightoneducation/righton-app,True,22,537350,975,6.25,0,True,True,True,True,True,
openstates/openstates-scrapers,True,180,64808,3892,16.42,0,True,True,True,True,True,
reach4help/reach4help,True,60,85364,1446,5.36,15,True,True,True,True,True,
hotosm/hotosm-website,True,120,10513162,500,11.63,0,True,True,True,True,True,
openstreetmap/osmosis,True,60,27802,89,13.8,27,True,True,True,True,True,
github/covid19-dashboard,True,60,1544890,418,5.38,49,True,True,True,True,True,
medic/cht-core,True,120,360376,3916,13.74,0,True,True,True,True,True,
sozialhelden/wheelmap-frontend,True,18,181672,535,8.01,51,True,True,True,True,True,
dhis2/app-platform,True,25,185472,834,6.45,1,True,True,True,True,True,
pcm-dpc/COVID-19,True,22,4160378,96,5.4,17,True,True,True,True,True,
nextstrain/nextstrain.org,True,60,151462,903,7.23,0,True,True,True,True,True,
okfde/offenerhaushalt.de,True,16,108258,166,13.16,174,True,True,True,True,True,
openeemeter/eemeter,False,60,263204,0,8.94,0,True,True,False,True,True,
somleng/somleng-scfm,False,11,41098,0,7.84,1,True,True,False,True,True,
sahana/eden,False,90,342168,0,1.03,2,True,True,False,True,True,
